NCBI GeneID	Symbol	Description	Transcripts	Ensembl GeneIDs
751955	GRM2	glutamate metabotropic receptor 2	1	ENSTGUG00000006595
751957	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	1	ENSTGUG00000000661
751963	GRM8	glutamate metabotropic receptor 8	4	ENSTGUG00000004198
751999	GRM1	glutamate metabotropic receptor 1	7	ENSTGUG00000010757
752006	GRM4	glutamate metabotropic receptor 4	2	ENSTGUG00000021157
752008	GRM5	glutamate metabotropic receptor 5	15	ENSTGUG00000012900
778440	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	3	ENSTGUG00000004747
778441	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	1	ENSTGUG00000008858
100223188	TCAF2	TRPM8 channel associated factor 2	1	ENSTGUG00000013145
100228828	VWF	von Willebrand factor	3	ENSTGUG00000011914
100219523	UBLCP1	ubiquitin like domain containing CTD phosphatase 1	4	ENSTGUG00000000578
100220502	NR4A3	nuclear receptor subfamily 4 group A member 3	2	ENSTGUG00000008853
100224462	HSPH1	heat shock protein family H (Hsp110) member 1	2	ENSTGUG00000011712
100226684	TXNRD2	thioredoxin reductase 2	1	ENSTGUG00000008350
100228585	AK6	adenylate kinase 6	1	ENSTGUG00000028726
100231009	GPX3	glutathione peroxidase 3	1	ENSTGUG00000000842
100231543	NRN1	neuritin 1	4	ENSTGUG00000002274
100534625	KIF1B	kinesin family member 1B	12	ENSTGUG00000003304
100038817	SEM1	SEM1 26S proteasome subunit	1	ENSTGUG00000024983
100101449	TUBB4B	tubulin beta 4B class IVb	1	ENSTGUG00000002788
100134846	CKS1B	CDC28 protein kinase regulatory subunit 1B	2	ENSTGUG00000019644
100135420	SPRYD7	SPRY domain containing 7	4	ENSTGUG00000019704
100151697	RAP1A	RAP1A, member of RAS oncogene family	4	ENSTGUG00000001456
100187703	TMEM41A	transmembrane protein 41A	3	
100187704	REEP5	receptor accessory protein 5	1	ENSTGUG00000001029
100187705	SLC7A6OS	solute carrier family 7 member 6 opposite strand	1	
100187707	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit	1	ENSTGUG00000011892
100189936	RPS9	ribosomal protein S9	7	ENSTGUG00000022536
100189938	ADISSP	adipose secreted signaling protein	2	ENSTGUG00000029136
100189941	KCTD4	potassium channel tetramerization domain containing 4	1	ENSTGUG00000022029
100189942	ATG12	autophagy related 12	1	
100189943	MIX23	mitochondrial matrix import factor 23	1	
100189946	GPN3	GPN-loop GTPase 3	2	ENSTGUG00000005686
100189948	RPL31	ribosomal protein L31	1	ENSTGUG00000027560
100189949	MRPS36	mitochondrial ribosomal protein S36	1	ENSTGUG00000014188
100189950	WASF1	WASP family member 1	5	ENSTGUG00000012072
100189951	LIMD2	LIM domain containing 2	4	ENSTGUG00000022764
100189952	SYS1	SYS1 golgi trafficking protein	2	
100189955	CNIH1	cornichon family AMPA receptor auxiliary protein 1	2	ENSTGUG00000013093
100189958	DAP	death associated protein	2	
100189959	RARRES2	retinoic acid receptor responder 2	1	ENSTGUG00000029580
100189960	NUDT4	nudix hydrolase 4	4	ENSTGUG00000008253
100189961	RPS25	ribosomal protein S25	1	ENSTGUG00000018461
100189962	CWC25	CWC25 spliceosome associated protein homolog	2	ENSTGUG00000003011
100189963	SHISA5	shisa family member 5	4	ENSTGUG00000018773
100189964	RPS11	ribosomal protein S11	2	ENSTGUG00000000582
100189965	NCS1	neuronal calcium sensor 1	3	ENSTGUG00000022805
100189968	RNF113A2	zinc finger protein 183-like	2	ENSTGUG00000001947
100189970	COMMD3	COMM domain containing 3	3	ENSTGUG00000001208
100189971	MED7	mediator complex subunit 7	1	ENSTGUG00000000675
100189973	CXCL12	C-X-C motif chemokine ligand 12	4	
100189974	DBX2	developing brain homeobox 2	1	ENSTGUG00000026363
100189975	EIF4E	eukaryotic translation initiation factor 4E	2	ENSTGUG00000020308
100189976	FAM168A	family with sequence similarity 168 member A	1	ENSTGUG00000023375
100189980	RPP14	ribonuclease P/MRP subunit p14	2	ENSTGUG00000009157
100189983	TMBIM4	transmembrane BAX inhibitor motif containing 4	1	ENSTGUG00000006618
100189986	RPS18	ribosomal protein S18	1	ENSTGUG00000024411
100189987	ARHGAP32	Rho GTPase activating protein 32	6	ENSTGUG00000000581
100189988	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	2	
100189989	BSDC1	BSD domain containing 1	1	ENSTGUG00000001376
100189990	BTF3	basic transcription factor 3	1	ENSTGUG00000005853
100189991	TFDP1	transcription factor Dp-1	1	
100189992	SAMD12	sterile alpha motif domain containing 12	1	ENSTGUG00000020404
100189993	TAGLN	transgelin	2	ENSTGUG00000000175
100189994	CD9	CD9 molecule	1	
100189995	COMMD9	COMM domain containing 9	1	ENSTGUG00000010117
100189996	C21H1orf50	chromosome 21 C1orf50 homolog	1	ENSTGUG00000017254
100189997	SKIC8	SKI8 subunit of superkiller complex	1	ENSTGUG00000003308
100189998	SMCO4	single-pass membrane protein with coiled-coil domains 4	2	ENSTGUG00000024656
100189999	PSMA6	proteasome 20S subunit alpha 6	1	ENSTGUG00000011976
100190000	RPL23	ribosomal protein L23	1	ENSTGUG00000002167
100190003	MIEN1	migration and invasion enhancer 1	1	
100190004	RALA	RAS like proto-oncogene A	4	ENSTGUG00000001854
100190005	RPL14	ribosomal protein L14	2	ENSTGUG00000026863
100190006	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	2	ENSTGUG00000009967
100190007	BCCIP	BRCA2 and CDKN1A interacting protein	1	ENSTGUG00000011485
100190008	CPLX1	complexin 1	2	ENSTGUG00000028850
100190009	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	1	ENSTGUG00000008327
100190010	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	5	ENSTGUG00000010497
100190011	FMC1	formation of mitochondrial complex V assembly factor 1 homolog	2	ENSTGUG00000009592
100190012	ANXA4	annexin A4	2	ENSTGUG00000003734
100190014	RPS4X	ribosomal protein S4 X-linked	1	ENSTGUG00000022503
100190018	PLEKHB2	pleckstrin homology domain containing B2	3	ENSTGUG00000022667
100190019	AKIRIN2	akirin 2	2	ENSTGUG00000021919
100190020	MYCT1	MYC target 1	2	ENSTGUG00000011193
100190021	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	4	ENSTGUG00000027600
100190022	MED27	mediator complex subunit 27	1	ENSTGUG00000005076
100190023	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25	2	ENSTGUG00000001277
100190024	PCYT1B	phosphate cytidylyltransferase 1B, choline	5	ENSTGUG00000007158
100190027	MCTS1	MCTS1 re-initiation and release factor	1	ENSTGUG00000003338
100190028	TIMM10	translocase of inner mitochondrial membrane 10	1	
100190029	NSA2	NSA2 ribosome biogenesis factor	1	ENSTGUG00000006033
100190032	NECAB3	N-terminal EF-hand calcium binding protein 3	1	
100190033	MLEC	malectin	1	ENSTGUG00000026613
100190036	GLRX3	glutaredoxin 3	1	ENSTGUG00000011623
100190037	MRPL9	mitochondrial ribosomal protein L9	3	ENSTGUG00000021225
100190038	DCUN1D5	defective in cullin neddylation 1 domain containing 5	2	ENSTGUG00000020472
100190039	TRAPPC2L	trafficking protein particle complex subunit 2L	1	ENSTGUG00000022026
100190040	CMC2	C-X9-C motif containing 2	3	ENSTGUG00000022858
100190041	C10H15orf61	chromosome 10 C15orf61 homolog	1	
100190042	MRPL42	mitochondrial ribosomal protein L42	3	ENSTGUG00000008272
100190043	DAD1	defender against cell death 1	2	ENSTGUG00000002998
100190044	RNF185	ring finger protein 185	3	ENSTGUG00000009710
100190045	STMN3	stathmin 3	4	ENSTGUG00000007038
100190046	CDKN1B	cyclin dependent kinase inhibitor 1B	1	ENSTGUG00000012703
100190048	MTX2	metaxin 2	3	ENSTGUG00000019630
100190049	HEXIM1	HEXIM P-TEFb complex subunit 1	1	
100190050	PMS2	PMS1 homolog 2, mismatch repair system component	1	ENSTGUG00000008778
100190051	BNIP1	BCL2 interacting protein 1	1	ENSTGUG00000000316
100190052	PHPT1	phosphohistidine phosphatase 1	2	ENSTGUG00000002467
100190053	ALYREF	Aly/REF export factor	1	ENSTGUG00000003513
100190054	NR2F2	nuclear receptor subfamily 2 group F member 2	4	ENSTGUG00000008599
100190056	RPS16	ribosomal protein S16	1	
100190057	DYNLT1	dynein light chain Tctex-type 1	1	ENSTGUG00000011060
100190058	AKR7A2	aldo-keto reductase family 7 member A2	3	ENSTGUG00000016951
100190059	IMP4	IMP U3 small nucleolar ribonucleoprotein 4	2	ENSTGUG00000022326,ENSTGUG00000027791
100190060	CFAP298	cilia and flagella associated protein 298	3	ENSTGUG00000013444
100190061	NTHL1	nth like DNA glycosylase 1	2	ENSTGUG00000006556
100190062	NOP10	NOP10 ribonucleoprotein	1	ENSTGUG00000020608
100190063	CIAO2A	cytosolic iron-sulfur assembly component 2A	2	ENSTGUG00000009827
100190065	GRPEL1	GrpE like 1, mitochondrial	1	ENSTGUG00000020628
100190066	ATP6V1E1	ATPase H+ transporting V1 subunit E1	1	ENSTGUG00000020869
100190067	RPSA	ribosomal protein SA	1	ENSTGUG00000004584
100190069	PFDN2	prefoldin subunit 2	1	ENSTGUG00000020246
100190070	MOCS2	molybdenum cofactor synthesis 2	4	ENSTGUG00000026398
100190073	RPL36	ribosomal protein L36	1	ENSTGUG00000000049
100190074	NUP35	nucleoporin 35	2	ENSTGUG00000011278
100190075	JMJD8	jumonji domain containing 8	1	
100190079	PSMA4	proteasome 20S subunit alpha 4	5	
100190080	RPS15	ribosomal protein S15	1	ENSTGUG00000000865
100190081	LHFPL5	LHFPL tetraspan subfamily member 5	1	ENSTGUG00000001662
100190082	ACOT13	acyl-CoA thioesterase 13	1	
100190083	IER3IP1	immediate early response 3 interacting protein 1	1	ENSTGUG00000028694
100190085	SNX3	sorting nexin 3	1	ENSTGUG00000012141
100190086	DECR1	2,4-dienoyl-CoA reductase 1	2	ENSTGUG00000011815
100190087	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	2	ENSTGUG00000010829
100190088	MZT1	mitotic spindle organizing protein 1	1	
100190089	PPCS	phosphopantothenoylcysteine synthetase	1	ENSTGUG00000002212
100190090	CCT2	chaperonin containing TCP1 subunit 2	1	ENSTGUG00000006912
100190092	RBX1	ring-box 1	1	ENSTGUG00000010035
100190093	TMEM189	transmembrane protein 189	1	ENSTGUG00000018828,ENSTGUG00000029053
100190098	ISCA2	iron-sulfur cluster assembly 2	1	ENSTGUG00000016281
100190099	SNRNP48	small nuclear ribonucleoprotein U11/U12 subunit 48	1	ENSTGUG00000007575
100190100	SLC40A1	solute carrier family 40 member 1	1	ENSTGUG00000010889
100190101	ARFRP1	ADP ribosylation factor related protein 1	1	ENSTGUG00000007096
100190102	SFT2D1	SFT2 domain containing 1	1	ENSTGUG00000009460
100190103	RPL34	ribosomal protein L34	3	ENSTGUG00000027399
100190104	CDK2AP1	cyclin dependent kinase 2 associated protein 1	3	ENSTGUG00000005436
100190106	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	3	
100190107	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit	2	ENSTGUG00000010465
100190108	MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase	9	ENSTGUG00000010646
100190110	RNF126	ring finger protein 126	2	ENSTGUG00000000628
100190111	HMGN5	high mobility group nucleosome binding domain 5	3	ENSTGUG00000002555
100190113	TIMM9	translocase of inner mitochondrial membrane 9	2	ENSTGUG00000013029
100190114	ATP6V0E1	ATPase H+ transporting V0 subunit e1	1	
100190116	PAK1IP1	PAK1 interacting protein 1	1	
100190117	DIRAS3	DIRAS family GTPase 3	1	ENSTGUG00000026090,ENSTGUG00000028200
100190118	TOMM20	translocase of outer mitochondrial membrane 20	2	ENSTGUG00000026446
100190119	RPF2	ribosome production factor 2 homolog	2	ENSTGUG00000012034
100190120	RABL2A	RAB, member of RAS oncogene family like 2A	1	ENSTGUG00000024637
100190126	RHEB	Ras homolog, mTORC1 binding	1	ENSTGUG00000000585
100190128	SPAG7	sperm associated antigen 7	2	
100190129	ZNF346	zinc finger protein 346	1	ENSTGUG00000000442
100190132	RPS6	ribosomal protein S6	1	ENSTGUG00000004334
100190134	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	2	ENSTGUG00000019874
100190136	MED10	mediator complex subunit 10	1	ENSTGUG00000027216
100190138	RPL24	ribosomal protein L24	1	ENSTGUG00000023416
100190139	AHSA2P	activator of HSP90 ATPase homolog 2	1	ENSTGUG00000026266
100190140	ANP32A	acidic nuclear phosphoprotein 32 family member A	2	ENSTGUG00000022919
100190141	LYRM1	LYR motif containing 1	1	ENSTGUG00000009197
100190144	RPS26	ribosomal protein S26	1	ENSTGUG00000019146
100190145	SLC25A5	solute carrier family 25 member 5	1	
100190146	SLC25A6	solute carrier family 25 member 6	1	ENSTGUG00000010711
100190147	PITHD1	PITH domain containing 1	1	ENSTGUG00000001201
100190149	UPRT	uracil phosphoribosyltransferase homolog	2	ENSTGUG00000005852
100190150	MOSPD1	motile sperm domain containing 1	2	ENSTGUG00000002920
100190153	PDZD11	PDZ domain containing 11	1	
100190154	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	1	
100190155	HIKESHI	heat shock protein nuclear import factor hikeshi	3	ENSTGUG00000012986
100190156	NINJ1	ninjurin 1	5	ENSTGUG00000025855
100190158	PARL	presenilin associated rhomboid like	2	ENSTGUG00000005507
100190159	AK3	adenylate kinase 3	3	ENSTGUG00000005155
100190160	CCDC137	coiled-coil domain containing 137	1	ENSTGUG00000002950
100190161	PSMG3	proteasome assembly chaperone 3	4	ENSTGUG00000008205
100190162	RAN	RAN, member RAS oncogene family	1	
100190163	EAPP	E2F associated phosphoprotein	1	ENSTGUG00000024220
100190164	CLTA	clathrin light chain A	4	ENSTGUG00000000114
100190166	TMEM50B	transmembrane protein 50B	1	ENSTGUG00000000529,ENSTGUG00000026747
100190167	MPZL1	myelin protein zero like 1	1	ENSTGUG00000027007
100190168	RPS27L	ribosomal protein S27 like	1	ENSTGUG00000026454
100190170	PTGR2	prostaglandin reductase 2	1	ENSTGUG00000011198
100190172	TMEM80	transmembrane protein 80	2	
100190173	SARNP	SAP domain containing ribonucleoprotein	3	ENSTGUG00000016126
100190174	CENPS	centromere protein S	1	
100190175	MRPL2	mitochondrial ribosomal protein L2	1	ENSTGUG00000004831
100190177	RPS21	ribosomal protein S21	2	ENSTGUG00000007750
100190178	RPL7A	ribosomal protein L7a	1	ENSTGUG00000018936
100190179	MRPL17	mitochondrial ribosomal protein L17	2	ENSTGUG00000001893
100190180	ATP5ME	ATP synthase membrane subunit e	1	ENSTGUG00000000178
100190181	TAF13	TATA-box binding protein associated factor 13	2	ENSTGUG00000013420
100190183	POLR2K	RNA polymerase II, I and III subunit K	2	ENSTGUG00000012051
100190184	SSR3	signal sequence receptor subunit 3	1	ENSTGUG00000011245
100190185	RPL9	ribosomal protein L9	3	ENSTGUG00000022418
100190186	UBL5	ubiquitin like 5	1	ENSTGUG00000027876
100190188	COPS5	COP9 signalosome subunit 5	1	ENSTGUG00000011336
100190189	SNCB	synuclein beta	1	ENSTGUG00000000512
100190190	CALB2	calbindin 2	1	ENSTGUG00000005987
100190191	PDRG1	p53 and DNA damage regulated 1	2	ENSTGUG00000006601
100190192	DKK3	dickkopf WNT signaling pathway inhibitor 3	3	ENSTGUG00000016109
100190193	FSCN1	fascin actin-bundling protein 1	1	ENSTGUG00000007668
100190194	AHSA1	activator of HSP90 ATPase activity 1	1	ENSTGUG00000012320
100190195	UBE2V2	ubiquitin conjugating enzyme E2 V2	3	ENSTGUG00000010911
100190196	HAGH	hydroxyacylglutathione hydrolase	3	ENSTGUG00000022314
100190198	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	1	
100190200	NDFIP1	Nedd4 family interacting protein 1	1	ENSTGUG00000000171
100190202	WBP2NL	WBP2 N-terminal like	3	ENSTGUG00000009723
100190203	VAMP4	vesicle associated membrane protein 4	2	ENSTGUG00000025061
100190205	ARPC4	actin related protein 2/3 complex subunit 4	1	
100190206	ZMYND19	zinc finger MYND-type containing 19	2	ENSTGUG00000018911
100190207	NTPCR	nucleoside-triphosphatase, cancer-related	4	ENSTGUG00000010136
100190208	ISCU	iron-sulfur cluster assembly enzyme	1	ENSTGUG00000006939
100190209	MRPS6	mitochondrial ribosomal protein S6	1	ENSTGUG00000026353
100190210	PITPNB	phosphatidylinositol transfer protein beta	2	ENSTGUG00000007796
100190211	RPL30	ribosomal protein L30	2	ENSTGUG00000019169
100190212	RPLP1	ribosomal protein lateral stalk subunit P1	1	ENSTGUG00000012661
100190214	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	1	ENSTGUG00000003670
100190215	VPS26A	VPS26, retromer complex component A	4	ENSTGUG00000003886
100190216	CLYBL	citramalyl-CoA lyase	1	ENSTGUG00000010925
100190218	POLDIP2	DNA polymerase delta interacting protein 2	1	ENSTGUG00000005900
100190220	CCK	cholecystokinin	1	ENSTGUG00000004682
100190223	MMADHC	metabolism of cobalamin associated D	2	ENSTGUG00000011984
100190224	POLR2D	RNA polymerase II subunit D	1	
100190225	SVBP	small vasohibin binding protein	1	ENSTGUG00000023474
100190226	TMEM230	transmembrane protein 230	1	ENSTGUG00000019460
100190227	TRUB2	TruB pseudouridine synthase family member 2	1	
100190230	KLHDC3	kelch domain containing 3	1	
100190231	SRSF7	serine and arginine rich splicing factor 7	1	
100190232	SUMO1	small ubiquitin like modifier 1	1	ENSTGUG00000023148
100190235	ENY2	ENY2 transcription and export complex 2 subunit	2	ENSTGUG00000026246
100190236	POLR2C	RNA polymerase II subunit C	1	ENSTGUG00000004996
100190238	ARPC3	actin related protein 2/3 complex subunit 3	1	ENSTGUG00000005696
100190239	ELMO1	engulfment and cell motility 1	7	ENSTGUG00000005533
100190240	SEC61B	SEC61 translocon subunit beta	1	ENSTGUG00000008873
100190241	HPCAL1	hippocalcin like 1	4	ENSTGUG00000013044
100190242	HMGN1	high mobility group nucleosome binding domain 1	1	ENSTGUG00000005112
100190245	TMEM138	transmembrane protein 138	1	ENSTGUG00000026595
100190246	U2AF1	U2 small nuclear RNA auxiliary factor 1	6	ENSTGUG00000028798
100190248	PPP1R7	protein phosphatase 1 regulatory subunit 7	2	ENSTGUG00000006266
