NCBI.GeneID	Symbol	Description	Transcripts	Ensembl.GeneIDs	external_gene_name	chromosome_name	start_position	end_position
100229691	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	1	ENSTGUG00000012645	COX7A2	3	31476553	31480409
100232597	TALDO1	transaldolase 1	1	ENSTGUG00000007821	TALDO1	5	9785708	9792257
100534626	PGD	phosphogluconate dehydrogenase	1	ENSTGUG00000003302	PGD	21	1048730	1058298
100226267	RORB	RAR related orphan receptor B	2	ENSTGUG00000000785	RORB	Z	13642180	13831031
105758458	KCNH5	potassium voltage-gated channel subfamily H member 5	1	ENSTGUG00000012967	KCNH5	5	55245423	55446480
100190545	PPID	peptidylprolyl isomerase D	1	ENSTGUG00000005656	PPID	4	40927744	40942078
100227851	MRPL51	mitochondrial ribosomal protein L51	1		NA	NA	NA	NA
778444	CHD1	chromodomain helicase DNA binding protein 1	2	ENSTGUG00000001185	CHD1	Z	33293301	33346202
100232439	GRIK3	glutamate ionotropic receptor kainate type subunit 3	1	ENSTGUG00000001569	GRIK3	23	737922	831424
751779	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	22	ENSTGUG00000002568	GRIN1	17	849353	889494
751952	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	4	ENSTGUG00000000726	GRIA1	13	12630075	12749420
751953	GRIA3	glutamate ionotropic receptor AMPA type subunit 3	9	ENSTGUG00000003563	GRIA3	4A	9373766	9522267
751954	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	9	ENSTGUG00000012676	GRIA4	1	40207694	40427939
751955	GRM2	glutamate metabotropic receptor 2	1	ENSTGUG00000006595	GRM2	12	13903530	13913946
751957	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	1	ENSTGUG00000000661	GRIN3A	Z	23376904	23442493
751963	GRM8	glutamate metabotropic receptor 8	4	ENSTGUG00000004198	GRM8	1A	18943937	19263216
751999	GRM1	glutamate metabotropic receptor 1	7	ENSTGUG00000010757	GRM1	3	65485349	65665973
752006	GRM4	glutamate metabotropic receptor 4	2	ENSTGUG00000021157	GRM4	26	1808416	1839224
752008	GRM5	glutamate metabotropic receptor 5	15	ENSTGUG00000012900	GRM5	1	33826877	34055315
778440	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	3	ENSTGUG00000004747	GRIN2A	14	10680219	10842241
778441	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	1	ENSTGUG00000008858	GRIN2C	18	8961599	8976781
100223188	TCAF2	TRPM8 channel associated factor 2	1	ENSTGUG00000013145		1	27888411	27911064
100228828	VWF	von Willebrand factor	3	ENSTGUG00000011914	VWF	1A	60094821	60224546
100219523	UBLCP1	ubiquitin like domain containing CTD phosphatase 1	4	ENSTGUG00000000578	UBLCP1	13	14519395	14532243
100220502	NR4A3	nuclear receptor subfamily 4 group A member 3	2	ENSTGUG00000008853	NR4A3	2	91224925	91254423
100224462	HSPH1	heat shock protein family H (Hsp110) member 1	2	ENSTGUG00000011712	HSPH1	1	64822261	64849454
100226684	TXNRD2	thioredoxin reductase 2	1	ENSTGUG00000008350	TXNRD2	15	6833451	6864106
100228585	AK6	adenylate kinase 6	1	ENSTGUG00000028726	AK6	Z	22352992	22356973
100231009	GPX3	glutathione peroxidase 3	1	ENSTGUG00000000842		13	11933579	11936253
100231543	NRN1	neuritin 1	4	ENSTGUG00000002274	NRN1	2	63745765	63754404
100534625	KIF1B	kinesin family member 1B	12	ENSTGUG00000003304	KIF1B	21	970613	1048043
100038817	SEM1	SEM1 26S proteasome subunit	1	ENSTGUG00000024983	SEM1	2	25532613	25542447
100101449	TUBB4B	tubulin beta 4B class IVb	1	ENSTGUG00000002788	TUBB4B	17	1833157	1866973
100134846	CKS1B	CDC28 protein kinase regulatory subunit 1B	2	ENSTGUG00000019644	CKS1B	25	133092	133962
100135420	SPRYD7	SPRY domain containing 7	4	ENSTGUG00000019704	SPRYD7	1	59507932	59521439
100151697	RAP1A	RAP1A, member of RAS oncogene family	4	ENSTGUG00000001456	RAP1A	26	583425	641841
100187703	TMEM41A	transmembrane protein 41A	3		NA	NA	NA	NA
100187704	REEP5	receptor accessory protein 5	1	ENSTGUG00000001029	REEP5	Z	28195106	28334613
100187705	SLC7A6OS	solute carrier family 7 member 6 opposite strand	1		NA	NA	NA	NA
100187707	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit	1	ENSTGUG00000011892	NUS1	3	49010126	49026219
100189936	RPS9	ribosomal protein S9	7	ENSTGUG00000022536	RPS9	30	2120004	2132144
100189938	ADISSP	adipose secreted signaling protein	2	ENSTGUG00000029136	C4H20orf27	4	1906707	1916275
100189941	KCTD4	potassium channel tetramerization domain containing 4	1	ENSTGUG00000022029	KCTD4	1	57844055	57845455
100189942	ATG12	autophagy related 12	1		NA	NA	NA	NA
100189943	MIX23	mitochondrial matrix import factor 23	1		NA	NA	NA	NA
100189946	GPN3	GPN-loop GTPase 3	2	ENSTGUG00000005686	GPN3	15	11609132	11613010
100189948	RPL31	ribosomal protein L31	1	ENSTGUG00000027560	RPL31	1	84233765	84242949
100189949	MRPS36	mitochondrial ribosomal protein S36	1	ENSTGUG00000014188	MRPS36	Z	11487639	11493230
100189950	WASF1	WASP family member 1	5	ENSTGUG00000012072	WASF1	3	45609533	45670053
100189951	LIMD2	LIM domain containing 2	4	ENSTGUG00000022764	LIMD2	27	310832	324625
100189952	SYS1	SYS1 golgi trafficking protein	2		NA	NA	NA	NA
100189955	CNIH1	cornichon family AMPA receptor auxiliary protein 1	2	ENSTGUG00000013093	CNIH1	5	58604126	58633776
100189958	DAP	death associated protein	2		NA	NA	NA	NA
100189959	RARRES2	retinoic acid receptor responder 2	1	ENSTGUG00000029580	RARRES2	2	427615	431213
100189960	NUDT4	nudix hydrolase 4	4	ENSTGUG00000008253	NUDT4	1A	42051331	42075352
100189961	RPS25	ribosomal protein S25	1	ENSTGUG00000018461	RPS25	24	7520705	7522355
100189962	CWC25	CWC25 spliceosome associated protein homolog	2	ENSTGUG00000003011	CWC25	27	1621225	1630060
100189963	SHISA5	shisa family member 5	4	ENSTGUG00000018773	SHISA5	12	15536517	15563662
100189964	RPS11	ribosomal protein S11	2	ENSTGUG00000000582	RPS11	1	114308845	114373143
100189965	NCS1	neuronal calcium sensor 1	3	ENSTGUG00000022805		17	6700820	6722007
100189968	RNF113A2	zinc finger protein 183-like	2	ENSTGUG00000001947	RNF113A2	27	325566	330843
100189970	COMMD3	COMM domain containing 3	3	ENSTGUG00000001208	COMMD3	2	18715077	18718655
100189971	MED7	mediator complex subunit 7	1	ENSTGUG00000000675	MED7	13	13668919	13670820
100189973	CXCL12	C-X-C motif chemokine ligand 12	4		NA	NA	NA	NA
100189974	DBX2	developing brain homeobox 2	1	ENSTGUG00000026363	DBX2	1A	28271346	28291903
100189975	EIF4E	eukaryotic translation initiation factor 4E	2	ENSTGUG00000020308	EIF4E	4	49857886	49926289
100189976	FAM168A	family with sequence similarity 168 member A	1	ENSTGUG00000023375	FAM168A	1	18169087	18299300
100189980	RPP14	ribonuclease P/MRP subunit p14	2	ENSTGUG00000009157		12	8596662	8600671
100189983	TMBIM4	transmembrane BAX inhibitor motif containing 4	1	ENSTGUG00000006618	TMBIM4	1A	32000156	32007091
100189986	RPS18	ribosomal protein S18	1	ENSTGUG00000024411		RRCB01000124.1	751477	769786
100189987	ARHGAP32	Rho GTPase activating protein 32	6	ENSTGUG00000000581		24	893196	927019
100189988	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	2		NA	NA	NA	NA
100189989	BSDC1	BSD domain containing 1	1	ENSTGUG00000001376	BSDC1	23	2329570	2338010
100189990	BTF3	basic transcription factor 3	1	ENSTGUG00000005853	BTF3	Z	66446503	66462150
100189991	TFDP1	transcription factor Dp-1	1		NA	NA	NA	NA
100189992	SAMD12	sterile alpha motif domain containing 12	1	ENSTGUG00000020404	SAMD12	2	137482689	137684013
100189993	TAGLN	transgelin	2	ENSTGUG00000000175	TAGLN	24	6793222	6795702
100189994	CD9	CD9 molecule	1		NA	NA	NA	NA
100189995	COMMD9	COMM domain containing 9	1	ENSTGUG00000010117	COMMD9	5	18885690	18892500
100189996	C21H1orf50	chromosome 21 C1orf50 homolog	1	ENSTGUG00000017254	C1orf50	21	8797504	8802342
100189997	SKIC8	SKI8 subunit of superkiller complex	1	ENSTGUG00000003308	WDR61	10	445818	458945
100189998	SMCO4	single-pass membrane protein with coiled-coil domains 4	2	ENSTGUG00000024656	SMCO4	1	35896097	35912880
100189999	PSMA6	proteasome 20S subunit alpha 6	1	ENSTGUG00000011976	PSMA6	5	36858322	36869181
100190000	RPL23	ribosomal protein L23	1	ENSTGUG00000002167	RPL23	27	3256786	3262065
100190003	MIEN1	migration and invasion enhancer 1	1		NA	NA	NA	NA
100190004	RALA	RAS like proto-oncogene A	4	ENSTGUG00000001854	RALA	2	54005538	54032865
100190005	RPL14	ribosomal protein L14	2	ENSTGUG00000026863	RPL14	2	42688478	42695571
100190006	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	2	ENSTGUG00000009967	DPCD	6	21901926	21909322
100190007	BCCIP	BRCA2 and CDKN1A interacting protein	1	ENSTGUG00000011485	BCCIP	6	32136205	32144317
100190008	CPLX1	complexin 1	2	ENSTGUG00000028850	CPLX1	Z	5838090	6039383
100190009	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	1	ENSTGUG00000008327	LSM3	12	9697467	9700432
100190010	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	5	ENSTGUG00000010497	PACSIN3	5	22967875	22992286
100190011	FMC1	formation of mitochondrial complex V assembly factor 1 homolog	2	ENSTGUG00000009592	FMC1	1A	46302595	46303117
100190012	ANXA4	annexin A4	2	ENSTGUG00000003734	ANXA4	22	5132744	5151047
100190014	RPS4X	ribosomal protein S4 X-linked	1	ENSTGUG00000022503	RPS4X	4A	14540891	14553125
100190018	PLEKHB2	pleckstrin homology domain containing B2	3	ENSTGUG00000022667	PLEKHB2	9	2721854	2737049
100190019	AKIRIN2	akirin 2	2	ENSTGUG00000021919	AKIRIN2	3	35920188	35940032
100190020	MYCT1	MYC target 1	2	ENSTGUG00000011193	MYCT1	3	58482032	58505634
100190021	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	4	ENSTGUG00000027600		12	10687907	10805103
100190022	MED27	mediator complex subunit 27	1	ENSTGUG00000005076	MED27	17	7290438	7373282
100190023	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25	2	ENSTGUG00000001277	DNAJC25	Z	34587863	34595690
100190024	PCYT1B	phosphate cytidylyltransferase 1B, choline	5	ENSTGUG00000007158	PCYT1B	1	100868738	100912240
100190027	MCTS1	MCTS1 re-initiation and release factor	1	ENSTGUG00000003338	MCTS1	4A	8921606	8930577
100190028	TIMM10	translocase of inner mitochondrial membrane 10	1		NA	NA	NA	NA
100190029	NSA2	NSA2 ribosome biogenesis factor	1	ENSTGUG00000006033	NSA2	Z	65924976	65932947
100190032	NECAB3	N-terminal EF-hand calcium binding protein 3	1		NA	NA	NA	NA
100190033	MLEC	malectin	1	ENSTGUG00000026613	MLEC	15	3678721	3691160
100190036	GLRX3	glutaredoxin 3	1	ENSTGUG00000011623	GLRX3	6	34013002	34026720
100190037	MRPL9	mitochondrial ribosomal protein L9	3	ENSTGUG00000021225		25	1585449	1729984
100190038	DCUN1D5	defective in cullin neddylation 1 domain containing 5	2	ENSTGUG00000020472	DCUN1D5	1	39292341	39308776
100190039	TRAPPC2L	trafficking protein particle complex subunit 2L	1	ENSTGUG00000022026	TRAPPC2L	11	10966286	10969417
100190040	CMC2	C-X9-C motif containing 2	3	ENSTGUG00000022858	CMC2	11	7293041	7307333
100190041	C10H15orf61	chromosome 10 C15orf61 homolog	1		NA	NA	NA	NA
100190042	MRPL42	mitochondrial ribosomal protein L42	3	ENSTGUG00000008272	MRPL42	1A	42111029	42120262
100190043	DAD1	defender against cell death 1	2	ENSTGUG00000002998	DAD1	27	1766087	1768242
100190044	RNF185	ring finger protein 185	3	ENSTGUG00000009710	RNF185	15	3561459	3575621
100190045	STMN3	stathmin 3	4	ENSTGUG00000007038	STMN3	20	7952092	7968142
100190046	CDKN1B	cyclin dependent kinase inhibitor 1B	1	ENSTGUG00000012703	CDKN1B	1A	70043940	70047745
100190048	MTX2	metaxin 2	3	ENSTGUG00000019630	MTX2	7	16457610	16492825
100190049	HEXIM1	HEXIM P-TEFb complex subunit 1	1		NA	NA	NA	NA
100190050	PMS2	PMS1 homolog 2, mismatch repair system component	1	ENSTGUG00000008778	PMS2	14	1306632	1318325
100190051	BNIP1	BCL2 interacting protein 1	1	ENSTGUG00000000316	BNIP1	13	15993731	15999276
100190052	PHPT1	phosphohistidine phosphatase 1	2	ENSTGUG00000002467	PHPT1	17	381881	383493
100190053	ALYREF	Aly/REF export factor	1	ENSTGUG00000003513	ALYREF	18	2192329	2196439
100190054	NR2F2	nuclear receptor subfamily 2 group F member 2	4	ENSTGUG00000008599	NR2F2	10	16672309	16690186
100190056	RPS16	ribosomal protein S16	1		NA	NA	NA	NA
100190057	DYNLT1	dynein light chain Tctex-type 1	1	ENSTGUG00000011060	DYNLT1	3	61135644	61140675
100190058	AKR7A2	aldo-keto reductase family 7 member A2	3	ENSTGUG00000016951		21	7690052	7694122
100190059	IMP4	IMP U3 small nucleolar ribonucleoprotein 4	2	ENSTGUG00000022326,ENSTGUG00000027791	NA	NA	NA	NA
100190060	CFAP298	cilia and flagella associated protein 298	3	ENSTGUG00000013444	CFAP298	1	19343695	19350493
100190061	NTHL1	nth like DNA glycosylase 1	2	ENSTGUG00000006556	NTHL1	14	7372913	7379538
100190062	NOP10	NOP10 ribonucleoprotein	1	ENSTGUG00000020608		RRCB01000074.1	731	1724
100190063	CIAO2A	cytosolic iron-sulfur assembly component 2A	2	ENSTGUG00000009827	CIAO2A	10	21255785	21259282
100190065	GRPEL1	GrpE like 1, mitochondrial	1	ENSTGUG00000020628	GRPEL1	4	12064844	12073627
100190066	ATP6V1E1	ATPase H+ transporting V1 subunit E1	1	ENSTGUG00000020869	ATP6V1E1	1A	67266039	67427345
100190067	RPSA	ribosomal protein SA	1	ENSTGUG00000004584	RPSA	2	44461100	44469299
100190069	PFDN2	prefoldin subunit 2	1	ENSTGUG00000020246		25	1686170	1689885
100190070	MOCS2	molybdenum cofactor synthesis 2	4	ENSTGUG00000026398	MOCS2	Z	54586045	54596958
100190073	RPL36	ribosomal protein L36	1	ENSTGUG00000000049	RPL36	28	5536075	5537797
100190074	NUP35	nucleoporin 35	2	ENSTGUG00000011278	NUP35	7	27505181	27514390
100190075	JMJD8	jumonji domain containing 8	1		NA	NA	NA	NA
100190079	PSMA4	proteasome 20S subunit alpha 4	5		NA	NA	NA	NA
100190080	RPS15	ribosomal protein S15	1	ENSTGUG00000000865	RPS15	28	1652645	1654902
100190081	LHFPL5	LHFPL tetraspan subfamily member 5	1	ENSTGUG00000001662	LHFPL5	26	1381189	1456805
100190082	ACOT13	acyl-CoA thioesterase 13	1		NA	NA	NA	NA
100190083	IER3IP1	immediate early response 3 interacting protein 1	1	ENSTGUG00000028694	IER3IP1	Z	91605	96426
100190085	SNX3	sorting nexin 3	1	ENSTGUG00000012141	SNX3	3	44851374	44893386
100190086	DECR1	2,4-dienoyl-CoA reductase 1	2	ENSTGUG00000011815	DECR1	2	126148312	126164379
100190087	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	2	ENSTGUG00000010829	NDUFAF1	5	24567662	24575182
100190088	MZT1	mitotic spindle organizing protein 1	1		NA	NA	NA	NA
100190089	PPCS	phosphopantothenoylcysteine synthetase	1	ENSTGUG00000002212	PPCS	21	5231255	5235465
100190090	CCT2	chaperonin containing TCP1 subunit 2	1	ENSTGUG00000006912	CCT2	1A	33101429	33112420
100190092	RBX1	ring-box 1	1	ENSTGUG00000010035	RBX1	1A	47193529	47204369
